UnityTime,NodeJSTime,Attention,Meditation,PoorSignalLevel,Frame,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Time
3:52:28:5228,13:52:28:5228, 70,66,26,15143,580280,1191576,548566,635134,302167,532253,166829,309466,605,72
3:52:29:5229,13:52:29:5229, 70,66,26,15168,384820,267854,246061,67883,210470,87756,151138,65494,606,72
3:52:30:5230,13:52:30:5230, 70,66,26,15193,249712,574376,93806,184139,53199,99056,54335,58690,607,72
3:52:31:5231,13:52:31:5231, 70,66,26,15219,632958,191886,274657,202956,68165,65997,68485,39396,608,76
3:52:32:5232,13:52:32:5232, 70,66,26,15242,723554,499265,286794,297371,79291,130145,68910,62629,609,68
3:52:34:5234,13:52:34:5234, 70,66,26,15292,636389,205838,244864,47648,149431,43516,56221,76609,611,68
3:52:35:5235,13:52:35:5235, 70,66,26,15318,1339830,1006833,837111,1280824,623417,439501,395308,325269,612,72
3:52:36:5236,13:52:36:5236, 70,66,26,15342,1228343,286832,126929,48165,156282,64264,99728,104436,613,68
3:52:37:5237,13:52:37:5237, 70,66,26,15367,517419,785109,107846,176010,144759,78094,67710,55822,614,68
3:52:38:5238,13:52:38:5238, 70,66,26,15393,1069290,900968,176455,59299,81097,73230,67197,179862,615,72
3:52:39:5239,13:52:39:5239, 70,66,26,15417,577682,391155,234358,134273,78870,67760,74942,30086,616,68
3:52:40:5240,13:52:40:5240, 70,66,26,15443,687058,834886,86318,149881,61645,51870,51108,59715,617,72
3:52:41:5241,13:52:41:5241, 70,66,26,15466,1620175,803237,181495,468055,545176,479088,145064,170898,618,64
3:52:42:5242,13:52:42:5242, 70,66,26,15492,345002,540059,218371,139853,206331,97630,40450,34348,619,68
3:52:44:5244,13:52:44:5244, 70,66,26,15541,1041546,1705995,404996,1039093,485957,405887,189869,241350,621,64
3:52:45:5245,13:52:45:5245, 70,66,26,15567,413154,349522,171437,88652,63983,93609,102094,85245,622,68
3:52:46:5246,13:52:46:5246, 70,66,26,15591,855894,603021,32616,28773,221102,99917,54196,51512,623,64
3:52:47:5247,13:52:47:5247, 70,66,26,15617,121176,515864,113860,139398,76261,137174,107655,75785,624,68
3:52:49:5249,13:52:49:5249, 70,66,26,15666,410029,268904,48372,225583,23157,175145,60288,58963,626,64
3:52:50:5250,13:52:50:5250, 70,66,26,15692,760580,2176076,449718,198297,213872,303417,235145,149422,627,68
3:52:51:5251,13:52:51:5251, 70,66,26,15715,1406838,1043336,364490,78571,915130,448017,369475,371754,628,6
3:52:52:5252,13:52:52:5252, 70,66,26,15741,411558,506117,55498,213665,133059,60163,81045,49003,629,64
3:52:54:5254,13:52:54:5254, 70,66,26,15791,287135,141682,156376,659885,160062,134396,46576,82510,631,64
3:52:55:5255,13:52:55:5255, 70,66,26,15815,733650,397003,236566,88377,152761,71860,41033,70569,632,6
3:52:56:5256,13:52:56:5256, 70,66,26,15840,477327,590512,65604,174648,43971,69694,74641,57719,633,6
3:52:57:5257,13:52:57:5257, 70,66,26,15866,530214,377159,57907,122035,127710,42355,58347,101057,634,64
3:52:58:5258,13:52:58:5258, 70,66,26,15890,965024,406960,256520,66373,28457,59918,69944,46618,635,6
3:52:59:5259,13:52:59:5259, 70,66,26,15916,1268107,1777787,421376,843825,562626,366319,471483,364113,636,64
3:53:00:530,13:53:00:530, 70,66,26,15939,61270,49488,33741,69965,15330,23682,23507,8730,637,56
3:53:01:531,13:53:01:531, 70,66,26,15965,1143694,1575663,1622145,1273383,387751,230758,356534,201367,638,6
3:53:02:532,13:53:02:532, 70,66,26,15989,923031,474255,219928,111455,72481,100806,54967,39339,639,56
3:53:04:534,13:53:04:534, 70,66,26,16040,1633342,1549609,202265,839634,528746,223713,319828,184746,641,6
3:53:05:535,13:53:05:535, 70,66,26,16064,103771,183453,109969,150782,131893,59642,70515,66257,642,56
3:53:06:536,13:53:06:536, 70,66,26,16090,312746,524107,20331,250187,138032,90351,108635,133883,643,6
3:53:07:537,13:53:07:537, 70,66,26,16113,1656505,2023571,363602,423195,598501,467719,284988,338520,644,52
3:53:08:538,13:53:08:538, 70,66,26,16139,300813,309603,117662,222994,64273,65423,71465,79880,645,56
3:53:09:539,13:53:09:539, 70,66,26,16163,1847325,485167,35292,580916,577714,580636,282095,527244,646,52
3:53:10:5310,13:53:10:5310, 70,66,26,16189,502398,249690,60229,143370,160783,97757,97050,49718,647,56
3:53:11:5311,13:53:11:5311, 70,66,26,16214,1756607,844771,326815,326681,1080838,518293,274433,273307,648,56
3:53:12:5312,13:53:12:5312, 70,66,26,16238,618291,245613,264632,156022,74489,63976,76050,47283,649,52
3:53:14:5314,13:53:14:5314, 70,66,26,16287,664293,367077,85859,197532,53592,72314,109709,61472,651,48
3:53:15:5315,13:53:15:5315, 70,66,26,16313,672516,239760,173103,137812,123471,69514,88312,79045,652,52
3:53:16:5316,13:53:16:5316, 70,66,26,16338,612020,135392,138116,51075,199988,45434,64388,118001,653,52
3:53:17:5317,13:53:17:5317, 70,66,26,16362,310497,120005,115457,189597,75226,184356,71956,57981,654,48
3:53:18:5318,13:53:18:5318, 70,66,26,16388,543463,651248,132556,165533,73489,67244,68150,50334,655,52
3:53:19:5319,13:53:19:5319, 70,66,26,16412,1110354,233493,156450,99803,135173,97573,55299,38443,656,48
3:53:20:5320,13:53:20:5320, 70,66,26,16438,733037,498604,231166,104083,40025,71655,78613,42153,657,52
3:53:21:5321,13:53:21:5321, 70,66,26,16462,503972,242582,37446,99444,76794,89912,48531,81808,658,48
3:53:22:5322,13:53:22:5322, 70,66,26,16487,752894,225928,200752,460075,39280,68111,41744,52941,659,48
3:53:23:5323,13:53:23:5323, 70,66,26,16512,721650,416214,269087,280320,193290,196540,37940,38792,660,48
3:53:24:5324,13:53:24:5324, 70,66,26,16537,563973,539826,188549,35176,95186,103644,98122,66565,661,48
3:53:25:5325,13:53:25:5325, 70,66,26,16563,463041,279287,456944,166910,85823,156349,99267,55454,662,52
3:53:26:5326,13:53:26:5326, 70,66,26,16587,500568,299264,132189,125912,160614,81218,51784,92933,663,48
3:53:27:5327,13:53:27:5327, 70,66,26,16612,512216,268924,57450,303002,121056,119261,64423,38245,664,48
3:53:28:5328,13:53:28:5328, 70,66,26,16635,328161,518406,106854,93720,82656,137396,43526,35985,665,4
3:53:29:5329,13:53:29:5329, 70,66,26,16662,93966,338103,179918,398532,103493,72547,34900,79203,666,48
3:53:31:5331,13:53:31:5331, 70,66,26,16711,537382,426182,25952,147822,123742,59354,102773,50158,668,44
3:53:32:5332,13:53:32:5332, 70,66,26,16737,1319244,1345383,483918,670227,255698,452587,378669,279235,669,48
3:53:34:5334,13:53:34:5334, 70,66,26,16786,288664,173358,13506,148783,158590,79877,80489,57021,671,44
3:53:35:5335,13:53:35:5335, 70,66,26,16810,491398,459717,19410,211460,205271,96533,82659,44325,672,4
3:53:36:5336,13:53:36:5336, 70,66,26,16836,977916,534113,191842,161083,177758,63856,59188,61172,673,44
3:53:37:5337,13:53:37:5337, 70,66,26,16862,298500,322063,104844,153581,66478,76754,65221,54344,674,48
3:53:38:5338,13:53:38:5338, 70,66,26,16885,1056395,367730,227066,228121,136939,127368,102048,32670,675,4
3:53:39:5339,13:53:39:5339, 70,66,26,16911,1963089,1236467,132560,625907,207795,201813,387723,1009626,676,44
3:53:40:5340,13:53:40:5340, 70,66,26,16934,569029,407732,242492,142379,45884,46885,88056,63338,677,36
3:53:41:5341,13:53:41:5341, 70,66,26,16960,299683,511258,89111,164150,304946,132069,55484,62415,678,4
3:53:44:5344,13:53:44:5344, 70,66,26,17036,1065883,384146,69969,125602,76422,67387,62712,52566,681,44
3:53:45:5345,13:53:45:5345, 70,66,26,17059,380621,296168,55817,220939,124092,130852,69730,46153,682,36
3:53:46:5346,13:53:46:5346, 70,66,26,17085,1061629,542281,35445,310046,89961,71033,60126,47869,683,4
3:53:47:5347,13:53:47:5347, 70,66,26,17109,586915,579758,102946,71090,125711,88351,64944,103565,684,36
3:53:48:5348,13:53:48:5348, 70,66,26,17135,685524,638410,145462,36088,25151,113263,63285,74231,685,4
3:53:49:5349,13:53:49:5349, 70,66,26,17159,595912,236097,38830,93709,174162,95876,64106,72962,686,36
3:53:50:5350,13:53:50:5350, 70,66,26,17184,181281,254685,125925,103682,105425,69337,52601,107918,687,36
3:53:51:5351,13:53:51:5351, 70,66,26,17210,71758,424469,484131,267160,90354,79943,35858,23787,688,4
3:53:52:5352,13:53:52:5352, 70,66,26,17233,202281,273518,390723,390894,60046,133455,47833,47457,689,32
3:53:54:5354,13:53:54:5354, 70,66,26,17283,795355,458337,53333,201464,40417,103567,36469,96658,691,32
3:53:55:5355,13:53:55:5355, 70,66,26,17309,278616,279735,102187,139856,207403,70426,120686,81007,692,36
3:53:56:5356,13:53:56:5356, 70,66,26,17333,500043,406372,152722,94526,96911,109301,87232,107777,693,32
3:53:57:5357,13:53:57:5357, 70,66,26,17358,328999,445707,114520,281282,50091,98991,59316,69965,694,32
3:53:58:5358,13:53:58:5358, 70,66,26,17384,243929,351772,554287,111377,143527,93117,67527,40896,695,36
3:53:59:5359,13:53:59:5359, 70,66,26,17407,69041,614685,216360,181551,170125,152294,118679,81713,696,28
3:54:00:540,13:54:00:540, 70,66,26,17433,810998,397982,54984,201670,111909,76036,93935,67421,697,32
3:54:01:541,13:54:01:541, 70,66,26,17457,408032,655092,104997,374267,131000,230049,45103,45795,698,28
3:54:02:542,13:54:02:542, 70,66,26,17483,201989,272223,70921,570958,120680,58137,62590,60944,699,32
3:54:03:543,13:54:03:543, 70,66,26,17507,890699,319600,63432,126919,78844,66733,102050,33115,700,28
3:54:04:544,13:54:04:544, 70,66,26,17532,266085,408245,467951,157238,120237,113198,58292,55728,701,28
3:54:05:545,13:54:05:545, 70,66,26,17558,1070307,86516,169695,195769,218576,49799,107378,70993,702,32
3:54:06:546,13:54:06:546, 70,66,26,17582,300705,313220,686563,78606,65578,93897,45362,134962,703,28
3:54:07:547,13:54:07:547, 70,66,26,17607,529528,377494,191198,101664,88213,84120,59690,41558,704,28
3:54:08:548,13:54:08:548, 70,66,26,17631,750801,200594,247336,97783,167354,139090,78228,68676,705,24
3:54:09:549,13:54:09:549, 70,66,26,17657,375393,277845,54008,316100,87990,108043,58179,93781,706,28
3:54:10:5410,13:54:10:5410, 70,66,26,17681,361406,332266,100200,311331,179097,65607,55711,42464,707,24
3:54:11:5411,13:54:11:5411, 70,66,26,17706,443982,645682,122199,235904,196505,140831,151953,57308,708,24
3:54:12:5412,13:54:12:5412, 70,66,26,17732,751481,405292,122162,149782,141051,106213,80723,64541,709,28
3:54:14:5414,13:54:14:5414, 70,66,26,17782,725212,472848,602030,151627,84129,52308,57993,141772,711,28
3:54:15:5415,13:54:15:5415, 70,66,26,17806,527886,355251,205947,136901,97033,53635,82347,43654,712,24
3:54:16:5416,13:54:16:5416, 70,66,26,17831,766541,189187,135280,41077,93284,86192,139610,140713,713,24
3:54:17:5417,13:54:17:5417, 70,66,26,17856,424035,579986,85952,465214,142256,144171,118210,70727,714,24
3:54:18:5418,13:54:18:5418, 70,66,26,17881,1647027,262253,118840,245022,169435,119118,90254,87190,715,24
3:54:19:5419,13:54:19:5419, 70,66,26,17906,965342,447622,94068,111914,108863,117430,32487,73639,716,24
3:54:20:5420,13:54:20:5420, 70,66,26,17930,476825,519349,73852,255984,52220,53594,69024,39826,717,2
3:54:21:5421,13:54:21:5421, 70,66,26,17956,726075,317712,211788,246073,164907,76559,49295,53902,718,24
3:54:22:5422,13:54:22:5422, 70,66,26,17979,249578,527185,303702,162636,62152,103946,62798,32989,719,16
3:54:25:5425,13:54:25:5425, 70,66,26,18055,197366,563568,334839,131240,127723,153689,45336,51597,722,2
3:54:26:5426,13:54:26:5426, 70,66,26,18080,387914,478296,173113,75264,159188,72740,106100,35091,723,2
3:54:27:5427,13:54:27:5427, 70,66,26,18104,1002964,293213,71666,52909,64726,84710,58799,79412,724,16
3:54:28:5428,13:54:28:5428, 70,66,26,18130,430824,727254,260624,271201,115523,142551,87218,66959,725,2
3:54:30:5430,13:54:30:5430, 70,66,26,18180,1181844,475346,17974,105730,112576,84408,91771,66596,727,2
3:54:31:5431,13:54:31:5431, 70,66,26,18205,1061783,1428628,459100,1160612,451502,250532,166568,371947,728,2
3:54:32:5432,13:54:32:5432, 70,66,26,18229,416140,180858,450731,54927,243049,129891,23511,64811,729,16
3:54:34:5434,13:54:34:5434, 70,66,26,18279,680392,318833,186056,156313,34937,60534,47504,37849,731,16
3:54:35:5435,13:54:35:5435, 70,66,26,18304,1263756,144076,108894,112015,161681,36153,128544,108755,732,16
3:54:37:5437,13:54:37:5437, 70,66,26,18353,671826,360388,457865,378044,841918,432043,304183,309921,734,12
3:54:38:5438,13:54:38:5438, 70,66,26,18379,557001,539339,77841,155896,66286,131867,48512,173669,735,16
3:54:39:5439,13:54:39:5439, 70,66,26,18403,1095119,1269302,361361,559106,340273,326400,543120,265447,736,12
3:54:40:5440,13:54:40:5440, 70,66,26,18429,610086,436632,84451,225157,87510,72072,60508,54009,737,16
3:54:41:5441,13:54:41:5441, 70,66,26,18452,895504,1423429,362611,1218286,235647,370961,208528,159131,738,08
3:54:42:5442,13:54:42:5442, 70,66,26,18478,720200,656846,185134,238847,93268,33078,33841,65163,739,12
3:54:43:5443,13:54:43:5443, 70,66,26,18503,821632,935700,86900,256155,68559,107899,46248,80508,740,12
3:54:44:5444,13:54:44:5444, 70,66,26,18527,246130,105719,66368,345392,91421,66822,29623,59826,741,08
3:54:45:5445,13:54:45:5445, 70,66,26,18553,847987,213423,95877,199775,92180,106024,70382,133036,742,12
3:54:46:5446,13:54:46:5446, 70,66,26,18577,789055,232073,41562,159320,51122,100640,50365,66740,743,08
3:54:47:5447,13:54:47:5447, 70,66,26,18603,749229,151236,139101,91640,136879,89559,62706,33922,744,12
3:54:48:5448,13:54:48:5448, 70,66,26,18627,2257259,1369569,904510,223545,295315,450984,262076,621750,745,08
3:54:49:5449,13:54:49:5449, 70,66,26,18653,193248,346896,383969,189280,126497,169130,50083,66287,746,12
3:54:50:5450,13:54:50:5450, 70,66,26,18677,477541,750002,111880,65856,53283,100044,99093,57536,747,08
3:54:51:5451,13:54:51:5451, 70,66,26,18702,1350949,465961,87891,146953,83821,66196,59542,82678,748,08
3:54:52:5452,13:54:52:5452, 70,66,26,18728,419796,289132,364751,140153,68204,88039,33932,84479,749,12
3:54:54:5454,13:54:54:5454, 70,66,26,18777,2321922,1175213,142973,319880,266263,458373,462968,292511,751,08
3:54:55:5455,13:54:55:5455, 70,66,26,18801,641522,485931,35657,176992,106845,64912,37894,85183,752,04
3:54:56:5456,13:54:56:5456, 70,66,26,18827,542921,431901,35806,145691,69460,91882,79120,166727,753,08
3:54:57:5457,13:54:57:5457, 70,66,26,18851,1279250,756231,481685,631357,558267,850844,252198,507317,754,04
3:54:58:5458,13:54:58:5458, 70,66,26,18876,1119306,925040,639245,765890,261873,466063,387791,143549,755,04
3:54:59:5459,13:54:59:5459, 70,66,26,18902,911053,1129392,723526,455888,347502,835014,365122,300650,756,08
3:55:00:550,13:55:00:550, 70,66,26,18925,1099900,316070,245095,320115,136647,102423,42453,81000,757
3:55:01:551,13:55:01:551, 70,66,26,18951,478705,199458,341075,313010,161470,35943,103195,77023,758,04
3:55:02:552,13:55:02:552, 70,66,26,18975,160695,314701,235753,212864,104086,97614,51774,51625,759
3:55:04:554,13:55:04:554, 70,66,26,19025,2663101,804105,1412720,351622,360136,271347,233438,599206,761
3:55:05:555,13:55:05:555, 70,66,26,19050,509585,282246,91251,239715,102518,116284,23339,73436,762
3:55:06:556,13:55:06:556, 70,66,26,19076,623098,507113,129682,283057,82235,137689,47521,80699,763,04
3:55:07:557,13:55:07:557, 70,66,26,19100,1595510,171385,148212,227142,94551,53610,119469,64483,764
3:55:08:558,13:55:08:558, 70,66,26,19125,283784,858124,122371,95000,64795,108566,64855,94963,765
3:55:09:559,13:55:09:559, 70,66,26,19149,911621,488098,31814,194801,60009,248644,90373,57608,765,96
3:55:10:5510,13:55:10:5510, 70,66,26,19175,438806,597237,166347,325372,22595,125015,62100,27056,767
3:55:12:5512,13:55:12:5512, 70,66,26,19224,591870,284262,172441,145475,51232,71083,31307,76897,768,96
3:55:14:5514,13:55:14:5514, 70,66,26,19273,548698,165261,79815,430485,74036,89948,42504,51528,770,92
3:55:15:5515,13:55:15:5515, 70,66,26,19299,680938,357806,541927,71930,60751,116754,72408,39737,771,96
3:55:16:5516,13:55:16:5516, 70,66,26,19323,1388141,1304149,1229833,528324,248373,365883,228055,86798,772,92
3:55:17:5517,13:55:17:5517, 70,66,26,19349,797039,321848,242712,31707,156193,65147,37418,57727,773,96
3:55:18:5518,13:55:18:5518, 70,66,26,19375,306630,462729,194004,200184,78471,122636,61943,44560,775
3:55:19:5519,13:55:19:5519, 70,66,26,19398,258388,376063,144805,259125,140630,107645,98947,74940,775,92
3:55:20:5520,13:55:20:5520, 70,66,26,19424,1476882,1286459,1403461,593637,353430,361635,296312,459432,776,96
3:55:20:5520,13:55:20:5520, 70,66,26,19448,555350,501998,128659,338999,52280,74626,104225,40825,777,92
3:55:22:5522,13:55:22:5522, 70,66,26,19473,488226,540183,112139,196771,66389,68536,55486,50986,778,92
3:55:24:5524,13:55:24:5524, 70,66,26,19490,345140,332898,140808,308454,88727,104184,33653,51227,779,6
3:55:25:5525,13:55:25:5525, 70,66,26,19490,1033651,536794,437994,257150,89926,56451,73577,61309,779,6
3:55:25:5525,13:55:25:5525, 70,66,26,19490,305299,351938,34002,442810,75626,179955,81674,95562,779,6
3:55:27:5527,13:55:27:5527, 70,66,26,19490,444035,280945,461242,467571,81114,54615,49680,92844,779,6
3:55:27:5527,13:55:27:5527, 70,66,26,19490,1381987,1455980,198192,197475,255628,410056,213641,288650,779,6
3:55:28:5528,13:55:28:5528, 70,66,26,19490,859059,906120,265204,120284,74983,53827,59885,46467,779,6
3:55:29:5529,13:55:29:5529, 70,66,26,19490,1463545,1546887,604764,846488,513102,281078,446337,157853,779,6
3:55:30:5530,13:55:30:5530, 70,66,26,19490,1507592,1239058,1774045,108661,645887,188993,318320,241785,779,6
3:55:31:5531,13:55:31:5531, 70,66,26,19490,336701,81600,73882,149356,176308,92851,51635,33539,779,6
3:55:33:5533,13:55:33:5533, 70,66,26,19490,523898,215233,48034,126529,27667,24828,27200,22349,779,6
3:55:34:5534,13:55:34:5534, 70,66,26,19490,614808,168933,62211,14530,29492,15849,9803,32807,779,6
3:55:35:5535,13:55:35:5535, 53,61,0,19490,1130673,1078110,504205,110755,37684,24051,5257,153405,779,6
3:55:36:5536,13:55:36:5536, 69,56,0,19490,803453,135498,33060,14218,9900,21827,2261,7160,779,6
3:55:37:5537,13:55:37:5537, 35,54,0,19490,1031905,65335,13489,7375,1508,1654,1613,1232,779,6
3:55:38:5538,13:55:38:5538, 23,53,0,19490,1967854,274755,70353,71929,17506,10083,2909,3341,779,6
3:55:39:5539,13:55:39:5539, 24,43,0,19490,1525531,515970,56161,35119,4309,9507,6054,3807,779,6
3:55:40:5540,13:55:40:5540, 11,51,0,19490,542262,35016,4808,19942,1816,2945,2391,1013,779,6
3:55:41:5541,13:55:41:5541, 17,60,0,19490,1427108,471222,203384,254335,69601,26743,12284,22533,779,6
3:55:43:5543,13:55:43:5543, 51,69,0,19490,121656,64138,34877,15520,5134,2222,1544,2445,779,6
3:55:44:5544,13:55:44:5544, 47,66,0,19490,859871,530057,218197,45600,62262,28614,8945,16252,779,6
3:55:46:5546,13:55:46:5546, 47,74,0,19490,108200,42436,28425,10849,3958,5663,8979,3801,779,6
3:55:47:5547,13:55:47:5547, 75,67,0,19490,2374579,329973,70592,113601,69774,75527,72425,35394,779,6
3:55:48:5548,13:55:48:5548, 78,80,0,19490,1677682,181996,66937,426569,93894,27951,25786,13227,779,6
3:55:49:5549,13:55:49:5549, 74,57,0,19490,1212909,325957,11702,17891,93367,24288,6853,7483,779,6
3:55:50:5550,13:55:50:5550, 57,38,0,19490,2262833,1445646,21219,88828,32017,38474,45578,23021,779,6
